"title","heading","content","tokens"
"Chapter_1","45"," Some horizontal-shaft designs in this manual use a single-direction motor and a valve to divert the pump discharge to the drain. Some sidewinders are direct reversing. Except for Kitchenaid, all vertical-shaft designs in this manual are direct-reversing. Most Kitchenaid machines use a single-direction motor and a solenoid drain valve; although the latest ones resemble Whirlpool machines and are direct-reversing. Except for Maytag, all vertical-shaft designs in this manual have a combination pump and motor unit mounted in the bottom center of the tub. Late model Maytags have this, but in earlier Maytag machines, the motor is mounted off-center and drives the pump through a belt. (Figure 1-C)","116"
"Chapter_2","54"," Find yourself a good appliance parts dealer. You can find them in the yellow pages under the following headings: â¢ Appliances, Household, Major â¢ Appliances, Parts and Supplies â¢ Dishwashers, Domestic â¢ Appliances, Household, Repair and Service Call a few of them and ask if they are a dishwasher repair service, or if they sell parts, or both. Ask them if they offer free advice with the parts they sell (Occasionally, stores that offer both parts and service will not want to give you advice.) Often the parts counter men are ex-technicians who got tired of the pressures of in-home service. They can be your best friends. However, you don't want to badger them with too many questions, so know your basics before you start asking questions.","130"
"Chapter_2","56"," Some parts houses may offer service, too. Be careful! There may be a conflict of interest. They may try to talk you out of even trying to fix your own dishwasher. They'll tell you it's too complicated, then in the same breath ""guide"" you to their service department. Who are you gonna believe, me or them? Not all service and parts places are this way, however. If you observe such buildup, periodically put about 1/4 to 1/2 cup of ""Lime-Away""â¢ or Citric Acid (usually available at drugstores) in the machine and run it through a wash cycle, with or without dishes. Repeat as often as necessary.","112"
"Chapter_2","58"," If they genuinely try to help you fix it yourself, and you find that you're unable to, they may be the best place to look for service. Here's a hot tip: after what I just said, if they sold you this book, then I'll just about guarantee they're genuinely interested in helping do-it-yourselfers. When you go into the store, have ready the make, model and serial number from the nameplate of the dishwasher.","79"
"Chapter_2","62"," NAMEPLATE INFORMATION: The metal nameplate is usually found inside the door as shown in figure 2-A. It may also be fastened to the top edge of the door itself. If you cannot find the nameplate, check the original papers that came with your dishwasher when it was new. They should contain the model number somewhere. In any case, and especially if you have absolutely NO information about your dishwasher anywhere, make sure you bring your old part to the parts store with you. Sometimes they can match it up by looks or by part number.","96"
"Chapter_2","64"," It's important to know that washing dishes in a dishwasher is not just a matter of blowing hot water at them. It is not just simply a mechanical or hydraulic process. It is also a chemical process. The chemicals you use, from detergent to rinse agent, are extremely critical. I recommend you use the following stuff regularly: 1) Use dry (powder) Cascade""â¢. The real stuff. Do not use liquid detergent. And especially do not use regular liquid dishsoap.","80"
"Chapter_2","66"," 2) Use ""Jet-Dry""â¢ and check it regularly. ""Jet-Dry""â¢ causes water to sheet and run off the dishes, instead of beading up and spotting them. Also use a product called ""Glass Magic""â¢ to assist in preventing filming of the glass surfaces or calcium buildup. 3) If you live in an area with hard water, be on the lookout for any white film buildup you may get in the tub. It may be mostÂ","77"
"Chapter_2","69"," obvious on any black plastic parts inside. This is primarily calcium. It can make plastic parts brittle and cause abrasion in moving parts, as well as spotting or filming on the dishes themselves. In extreme cases of hard-water build-up, run 1/2 cup of white vinegar through a single rinse-and-drain cycle, without any dishes in the machine. These are pretty specific product endorsements for me to make without getting paid to make them, don't you think? To be totally honest, there are other chemicals which may be ""good enough."" But why bother? The ""good stuff"" only costs a few pennies more, and furthermore, it can be found in just about any grocery store in the nation.","121"
"Chapter_2","73"," See chapter 3 for a more in-depth discussion of wash quality and its factors. A few more pearls of wisdom: Every few months, do a thorough cleaning. Pay special attention to any buildup of detergent around door seals, especially along the bottom edge of the door. Also be on the lookout for cloudy film or calcium buildup. Every six months or so, open the kickplate and check for leaks. Also exercise the hot water shutoff valve under the sink, to make sure it will close when you need it to.","91"
"Chapter_2","76"," Every few months, open, check and if necessary, clean out the air gap. (See Chapter 3 for diagram) Be sure you load the dishwasher properly. Cups, glasses, bowls, etc. should be upside-down so they don't hold water. Large items must be loaded so they do not block the waterjets from the spray arms, or block the spray arms themselves as they rotate. Silverware should be secure. Re-coat or replace any rusty dishracks. You can purchase a paint-on dishwasher rack coating from your appliance parts dealer or local hardware store. Replacing rusty dishracks costs a bit, but a pump leak caused by rusty grit getting into the pump seals can cost you more.","116"
"Chapter_2","81"," POOR WASH QUALITY: This is the most common complaint in a dishwasher. It covers a lot of different specific symptoms, from spotting, film or etching of the dishes to food left on dishes. It is discussed in detail in Chapter 3. NO POWER; MOTOR WON'T START: First check the house breaker or fuse. Next, make sure that the dishwasher is plugged into the correct wall socket. (See the note in section 5-2 for an explanation)","77"
"Chapter_2","83"," The door is interlocked so that no fill or wash can occur while it's open. Check that the door locking lever is fully closed; this will close the door switch. Also check that the door switch is not defective as described in section 6-2(a). Is the motor buzzing as described in section 6-2(c)? If so, the motor is locked up. It may be that something is jamming the pump. It may also be that the pump or motor bearings are bad, or the motor windings are fried; see Chapter 5.","95"
"Chapter_2","86"," Also check the junction box for burnt terminals; see section 6-2(e). NO FILL: This is usually a defective water valve solenoid or clogged water valve. Try cleaning out the strainer screen as shown in figure 2-B; also test the solenoid for continuity. (Note that some Kitchenaid machines have a dual solenoid valve, with two solenoids. These valves should be tested as if they were two separate valves in series.) Replace the valve if defective.","77"
"Chapter_2","88"," When replacing the fill valve, use an O.E.M. part, or at least make sure the flow control washer is the same as in the original machine. Aftermarket parts may have a different flow control washer, which can cause high or low waterfill in your machine. It could also be caused by the anti-flood float switch being stuck or defective. Rarely, but possibly, it can be traced to a burned contact inside the timer. Test as described in section 6-2 (a) and (b).","86"
"Chapter_2","92"," NO DRAIN, MOTOR RUNNING: This usually shows up as poor wash quality (severe spotting) due to cold water. Usually something is clogging the drain line or the Air Gap (see section 3-1.) In GE or Kitchenaid machines, the drain valve solenoid may not be operating. Check the solenoid and also the timer (which controls it) as described in sections 6-2(a) and (b). Another possibility is that junk has gotten into the drain pump impeller, and the vanes are broken clean off. Disassemble the pump as described in Chapter 5 and check the impeller.","96"
"Chapter_2","95"," TUB FILLS, BUT NO WASH OR NO DRAIN (MOTOR NOT RUNNING): If you hear the motor trying to start (buzzing and clicking as described in Chapter 6) something is locking it up. It may be jammed with bits of food or glass. It may also be that a starting winding is burnt out. If the machine is direct-reversing and it does start in one direction but not the other, then a starting winding is definitely burnt.","77"
"Chapter_2","98"," Disassemble or remove the pump and motor unit as described in Chapter 5. Clear whatever is jamming it. If you suspect that the motor is bad, check it as described in section 6-2(b). If you don't even hear the motor trying to start, the timer contacts may be burnt out. Test and repair as described in section 6-2(b). There is a also a motor starting relay. If this fails, it will cause similar symptoms. Test as described in section 6-2(c) and replace if defective.","91"
"Chapter_2","101"," NOISY OPERATION: Usually it is caused by bits of broken glass or rust getting into the pump impeller or spray arms. It is also frequently caused by worn out bearings in the pump or electric motor. Wasted pump bearings are a notably common problem in Maytag belt-driven machines. Try removing the spray arms and clearing them of debris. This can be difficult, and it may be easier to replace them.","71"
"Chapter_2","104"," Take the pump housing apart as described in Chapter 5 and try turning the pump and motor shafts by hand. It should be smooth, without too much resistance. Any gritty feeling indicates bad bearings or stuff contacting the pump impeller. MECHANICAL TIMER NOT ADVANCING: Usually the timer motor has gone bad. However, be sure to check the wiring diagram first, as described in Chapter 6. There may be several other switches in the circuit, for example thermostat or pushbutton selector switches.","81"
"Chapter_2","108"," The solution is to replace the defective motor or switch. If it's the timer, you may be able to get a rebuilt one to save a few bucks. WATER LEAKING ONTO FLOOR: If water is coming out the front of the machine, it's usually leaky door seals, but there are a few other suspects. The wrong soap can cause suds, which can leak out even if the seals are good. There are also some designs which can develop a water jet that blows water past the door seal; this is discussed in Chapter 4. Check for these problems first. If you still suspect the door seal, try cleaning any accumulated detergent or other gunk from it. If you need to replace the seals, your parts dealer has a door seal kit. See Chapter 4 for a more in-depth discussion of these and other possible leak sources.","149"
"Chapter_2","109"," If water is coming from beneath the machine, it is usually coming from pump seals, but it could also be coming from a hose or from the fill or drain solenoid valve. Remove the kickplate and operate the machine while looking beneath it. Try to isolate the leak by watching where the water drips on the floor. Remember that there are live wires under there; don't stick your hands in there while the machine is plugged in. Diagnose and repair as described in chapters 4 or 5.","88"
"Chapter_2","112"," DOOR DETERGENT DISPENSERS NOT WORKING: If the detergent dispensers are not popping open, usually a solenoid or bi-metallic trigger has failed. Remove the outer door panel as described in section 5-2 and test as described in section 6-2(f). It may also be that they are gunked up with detergent or rinse agent. Clean them out thoroughly. The tools that you may need (depending on the diagnosis) are listed below. Some are optional. The reason for the option is explained.","83"
"Chapter_2","124"," CORDLESS POWER SCREWDRIVER OR DRILL/DRIVER WITH MAGNETIC SCREWDRIVER AND NUTDRIVER TIPS: For pulling off panels held in place by many screws. It can save you lots of time and hassle.: Many home handymen are very intimidated by electricity. It's true that diagnosing and repairing electrical circuits requires a bit more care than most operations, due to the danger of getting shocked. But there is no mystery or voodoo about the things we'll be doing. Remember the rule in section 2-6 (1); while you are working on a circuit, energize the circuit only long enough to perform whatever test you're performing, then take the power back off it to perform the repair. You need not be concerned with any theory, like what an ohm is, or what a volt is. You will only need to be able to set the VOM onto the right scale, touch the test leads to the right place and read the meter.","161"
"Chapter_2","126"," In using the VOM (Volt-Ohm Meter) for our purposes, the two test leads are always plugged into the ""+"" and ""-"" holesÂ on the VOM. (Some VOMs have more than two holes.) Set the dial of the VOM on the lowest VAC scale (A.C. Voltage) over 120 volts. For example, if there's a 50 setting and a 250 setting on the VAC dial, use the 250 scale, because 250 is the lowest setting over 120 volts.","77"
"Chapter_2","127"," Touch the two test leads to the two metal contacts of a live power source, like a wall outlet or the terminals of the motor that you're testing for voltage. (Do not jam the test leads into a wall outlet!) If you are getting power through the VOM, the meter will jump up and steady on a reading. You may have to convert the scale in your head. For example, if you're using the 250 volt dial setting and the meter has a ""25"" scale, simply divide by 10; 120 volts would be ""12"" on the meter.","99"
"Chapter_2","129"," Don't let the word ""continuity"" scare you. It's derived from the word ""continuous."" In an electrical circuit, electricity has to flow from a power source back to that power source. If there is any break in the circuit, it is not continuous, and it has no continuity. ""Good"" continuity means that there is no break in the circuit. For example, if you were testing a solenoid to see if it was burned out, you would try putting a small amount of power through the solenoid. If it was burned out, there would be a break in the circuit, the electricity wouldn't flow, and your meter would show no continuity.","112"
"Chapter_2","131"," That is what the resistance part of your VOM does; it provides a small electrical current (using batteries within the VOM) and measures how fast the current is flowing. For our purposes, it doesn't matter how fast the current is flowing; only that there is current flow. To use your VOM to test continuity, set the dial on (resistance) R x 1, or whatever the lowest setting is. Touch the metal parts of the test leads together and read the meter. It should peg the meter all the way on the right side of the scale, towards ""0"" on the meter's ""resistance"" or ""ohms"" scale. If the meter does not read zero ohms, adjust the thumbwheel on the front of the VOM until it does read zero. If you cannot get the meter to read zero, the battery in the VOM is low; replace it.","147"
"Chapter_2","133"," If you are testing, say, a solenoid, first make sure that the solenoid leads are not connected to anything, especially a power source. If the solenoid's leads are still connected to something, you may get a reading through that something. If there is still live power on the item you're testing for continuity, you will burn out your VOM instantly and possibly shock yourself. Touch the two test leads to the two bare wire ends or terminals of the solenoid. You can touch the ends of the wires and test leads with your hands if necessary to get better contact. The voltage that the VOM batteries put out is very low, and you will not be shocked. If there is NO continuity, the meter won't move. If there is GOOD continuity, the meter will move toward the right side of the scale and steady on a reading. This is the resistance reading and it doesn't concern us; we only care that we show good continuity. If the meter moves only very little and stays towards the left side of the scale, that's BAD continuity; the solenoid is no good.","194"
"Chapter_2","136"," If you are testing a switch, you will show little or no resistance (good continuity) when the switch is closed, and NO continuity when the switch is open. If you do not, the switch is bad. Ammeters are a little bit more complex to explain without going into a lot of electrical theory. If you own an ammeter, you probably already know how to use it. If you don't, don't get one. Ammeters are expensive. And for our purposes, there are other ways to determine what an ammeter tests for. If you don't own one, skip this section.","101"
"Chapter_2","138"," For our purposes, ammeters are simply a way of testing for continuity without having to cut into the system or to disconnect power from whatever it is we're testing. Ammeters measure the current in amps flowing through a wire. The greater the current that's flowing through a wire, the greater the density of the magnetic field, or flux, it produces around the wire. The ammeter simply measures the density of this flux, and thus the amount of current, flowing through the wire. To determine continuity, for our purposes, we can simply isolate the component that we're testing (so we do not accidentally measure the current going through any other components) and see if there's any current flow.","121"
"Chapter_3","145"," NOTE: This Chapter assumes that the motor is running and you hear water whooshing around inside the machine! If not, go back to chapter 2 and troubleshoot ! Poor wash quality mainly involves heavy spotting and filming or etching of the dishes. It can usually be traced to cold water or excessively hot, hard or soft water, poor detergent, or inadequate drying. Washing dishes in a dishwasher is not just a matter of blowing hot water at them. It is not just simply a mechanical or hydraulic process. It is also a chemical process. The chemicals you use in your dishwasher, from detergent to rinse agent, are extremely critical. And the temperature of the water that dissolves and carries these chemicals is critical as well.","124"
"Chapter_3","148"," Note, however, that there are a few things that are prone to spotting even if your dishwasher is operating perfectly. Teflonâ¢, for example, has a relatively porous surface that holds water, then sort of oozes it back out later. It is difficult to air dry and it usually must be wiped with a towel. Certain kinds of plastic have similar properties. See section 3-2. SPOTTING: It is CRITICAL to have wash and rinse water at around 150 degrees, plus or minus ten degrees. Any cooler, and the detergent will not dissolve properly, resulting in spotting or filming. If the dishwasher has a heater, the fill water may be just a little cooler, as low as 125, but it should be at least 140 well before the end of each cycle. The heater is not designed to heat cold water; it is designed to maintain water temperature.","147"
"Chapter_3","150"," To test the temperature, Turn a glass upright so it will collect water and put a candy thermometer into it. Let it run in the wash cycle for at least five minutes, then open the door and see what the temperature is. If the dishwasher is installed right next to the kitchen sink, as it is in most installations, you can run water out the sink and test the temperature there.","71"
"Chapter_3","153"," If you do, however, take note of how long the sink faucet runs cold before hot water starts running out. And try to note how many gallons of cold water this amounts to. That's roughly how many gallons of cold water that are entering your dishwasher before any hot water gets there. If your water temperature is too cool, you have several options, depending on the cause. You can try turning up the water heater temperature; sometimes this is enough. But to my experience, water fill temperature problems are usually caused by the dishwasher being installed too far away from the water heater. The tub fills with only a gallon or two of water; by the time the hot water gets from the heater to the dishwasher, the tub is at least half full of cold water. If the dishwasher water feed line comes off the same line that feeds the sink, it may help to warm up the line by running water out the hot water sink faucet before starting the dishwasher. However, the hot water line may cool off again between the wash and rinse cycles, so you may need to leave the sink valve cracked open a little to keep the line warm. This wastes a tremendous amount of water.","214"
"Chapter_3","155"," It's a tough problem, and solving it can involve re-designing the entire water system in your house. Before you do that, you might consider installing a small instant water heater nearer to the dishwasher. There are several small heaters available that heat just a few gallons and are made to be installed beneath the sink. Ask your appliance parts dealer or check your local hardware store. About the worst case of water temperature problems I ever saw was caused by an improper installation. The complaint was water spots on the dishes. Whomever installed the dishwasher had left too much rubber drain hose connected, and when the dishwasher was pushed back into place beneath the counter, the drain hose kinked badly. The old, cold water would never drain out of the tub at the beginning of the cycle, and thus it would not fill with new hot water. (The anti-flood float switch would prevent overfill.) Incidentally, it had been installed two years before, and the people had been trying to use it regularly since then. Thus, in addition to that two-year-old cold water in the bottom of the tub, there was also two years' worth of detergent and disgusting, moldy leftovers. The solution was to simply cut the drain hose shorter, but I have no idea how many cycles it took to melt all that gunk out of the tub. I also have no idea why it took them two years to call me.","248"
"Chapter_3","158"," AIR GAP: There is also an anti-siphon device, called an air gap, built into the drain line. It is required by law in most installations. It prevents accidental backflow (siphoning) into the dishwasher from the house drain lines. A typical air gap re-directs water 180 degrees, and thus it has constrictions that can easily trap a chunk of food trying to pass through it. Symptoms are the same as for any other blockage of the drain line, except that you may also see water flowing out of the air gap vents directly into the sink.","97"
"Chapter_3","160"," Fortunately, they are pretty easy to open and clean. (See figure 3-A) In most installations, it is a little chrome or brass blob with a couple of vent holes in it, sitting right next to your sink faucet handles. If it's not there, find the hose that drains your dishwasher into the sink trap or garbage disposal, and trace it back directly to the air gap. Usually all that's involved in cleaning it is to pull off the little chrome blob and unscrew the top of the air gap itself. Both drain pipes will be exposed.","99"
"Chapter_3","163"," CLOGGING OF THE DISHWASHER WATER SYSTEM: The pump suction screen or spray arms can become clogged by hard water lime or by bits of food or glass from broken dishes. To diagnose, remove the spray arm assembly as shown in Chapter 3 and shake it. Any bits of glass or other debris will make a noisy clatter. Try to remove them. It can be difficult; it's a lot like trying to fish coins out of a piggy bank. Try putting tape over the holes in the spray arm, then partially fill it with water, then shake the water out...most of the broken bits of debris should come out with the water. If it's too hard, just replace the spray arm.","123"
"Chapter_3","166"," If you have a lime or hard water buildup clogging any water holes, run some Lime-Awayâ¢ through your machine as described in section 2-2, preventive maintenance. POOR DETERGENT OR RINSE AGENT: Yup, you get what you pay for. Use acidic or hard detergent, and you will have problems and you will shorten the life of your machine significantly. I know you don't want to hear me say that, but when it comes to dishwashers it's really true; even more so than with other machines. It doesn't pay to cut corners on what you put into your dishwasher. C'mon, now, I always tell you when you can ""economize,"" right? Trust me here. Don't be cheap. You can save a few pennies now, but it will cost you dollars later.","135"
"Chapter_3","168"," Here's the scoop: Use dry (powder) Cascadeâ¢. The real stuff. Do not use liquid detergent. In my opinion, they have not yet figured out how to make liquid detergent that dissolves properly. And especially do not use regular liquid dishsoap. It is made to suds up, which you do not want in a dishwasher. Also use ""Jet-Dry""â¢ and check it regularly. ""Jet-Dry""â¢ causes water to sheet and run off the dishes, instead of beading up and spotting them.","83"
"Chapter_3","170"," Also use a product called ""Glass Magic""â¢ regularly to assist in preventing filming or etching of the glass surfaces. Put a mixture of about 1/3 Glass Magicâ¢ to about 2/3 powdered Cascadeâ¢ in the pop-open door dispenser. This will open and dispense the mixture during the second wash cycle. Calcium buildup and acidity do not just affect how your dishes look. Look, if acid is eating and calcium is abrading the glass in your dishes, what do you think those chemicals are doing to the working parts of your machine, under high-temperature and high-pressure conditions?","101"
"Chapter_3","172"," ACID ETCHING: Etching of your glassware is damage of a more permanent nature. In early stages, the glassware may have an iridescent blue, pink or purplish look when you hold it under the light in a certain way. In later stages, the glass takes on a cloudy or milky appearance, or it may even be pitted. These cannot be removed by any amount of scrubbing. This later stage should not be confused with filming, which can be removed by a little Lime-Awayâ¢, Glass Magicâ¢ or white vinegar.","88"
"Chapter_3","174"," Etching is caused by overly acidic conditions inside your dishwasher. It does not seem to be related to the cost or quality of the glass. Softened water tends to be acidic to begin with. Softened water at excessively high temperature and in combination with lots of detergent seems to be the conditions most conducive to acid etching. If you have soft water, make sure it is entering the dishwasher at a temperature below 150 degrees. Also try cutting the amount of detergent you use in half. (Make sure the dishes are still being cleaned and sterilized, of course!) Realize, however, that some types of glass seem to be prone to etching no matter what you do.","116"
"Chapter_3","179"," DRYER BLOWER INOPERATIVE: Excessive spotting may mean the dryer blower or heater is not working. Test the motor or heater as described in section 6-2(d) and (g) and replace if defective. IMPROPER LOADING: Loading the dishwasher improperly can cause all sorts of problems, from blockage of the waterspray to dish or pump damage. Make sure the dishes are loaded properly as described in section 2-2, preventive maintenance. There are certain types of dishes that you should NOT wash in your dishwasher under any circumstances. For example, certain kinds of ""darkening"" in fine silverware is normal, and does not indicate a problem with your dishwasher. Other things to watch out for:","113"
"Chapter_3","183"," Cutlery with wood, bone or horn handles may crack or break or split under high temperatures and/or hydraulic pressure. The high-pressure hot water jets may also be enough to wash the hand painting off your hand-painted china. Lacquerware, genuine antique milkglass, or anodized aluminum may discolor. Iron skillets or pans may rust. Any rust that comes off is also very abrasive and will not be good for the pump and seals.","74"
"Chapter_4","190"," There are two general areas where you will commonly find water leaking from a dishwasher. The first is from around the door; water will generally show up on the kitchen floor in front of the dishwasher. The second is from some component under the tub. The most common sources are pump seals and water valves, though it really can come from just about anything else under there, such as heater mounts, float switches, dryer fans, hoses, etc.","77"
"Chapter_4","191"," A slow, under-tub leak may go years without being detected. Often the tile or linoleum in front of the dishwasher is slightly raised, and water does not flow uphill. A slow leak beneath the tub can rot a wooden floor or cabinetry. It can also cause odors, mildew, etc. Often the first sign you might see is water leaking under the cabinetry and into the space beneath the kitchen sink.","71"
"Chapter_4","192"," It pays to pull off the kickplate every six months or so and look around under there with a flashlight for any sign of a drip. Do it while the machine is running. Also check the hot water shutoff valve beneath the sink for leaks, and exercise it; open and close it a couple of times and make sure it works so that you will be able to shut it off when you need to.","75"
"Chapter_4","194"," A third source of water ""leakage"" (though it really isn't a leak) is from the air gap. The air gap is an anti-backflow device installed in the drain line, to prevent the dishwasher from accidentally siphoning fluid from your house's sewer line back into the dishwasher tub. If this air gap or the house's drain line becomes clogged, water can run out of the air vent, and generally it runs straight into your sink. Note, however, that this will only occur when the dishwasher is operating in the ""pumpout"" mode, trying to drain the tub. There is an illustration and discussion of the air gap in section 3-1.","113"
"Chapter_4","197"," Using the wrong detergent can cause sudsing during the wash cycle. When this happens, the suds may rise above the level of, or be splashed over the door sill. It usually shows up as a drip, and not as suds on the floor. To diagnose, open the door during a wash cycle and look inside. A high level of suds will be obvious to you. The solution is to change detergents. I highly recommend powdered Cascadeâ¢ detergent. See section 2-2, preventive maintenance.","83"
"Chapter_4","199"," To get through the cycle you've already started without spilling too much more water, try adding a couple of tablespoons of cooking oil to the wash cycle. The oil will knock down the suds and it will be washed out during the rinse cycle. If you do not see any physical damage or excessive soap scum buildup on the door seals, it is rare for them to be the source of a leak.","74"
"Chapter_4","200"," If you think they are leaking, try cleaning them first. Really get in there and get all the built-up detergent and gunk out of there. Pay particular attention to the area around the inside bottom of the door; it tends to collect detergent build-up, food particles and soap scum. Use Lime-Away or full-strength white vinegar as described in section 3-1 to remove any hard-water calcium buildup.","72"
"Chapter_4","201"," A particular Whirlpool machine was designed with a ""bladder,"" or expandable rubber chamber, at the top of the water tower. This bladder expands under water pressure to mate the tower with the upper spray arm. (See figure 4-A) These bladders can develop holes. A jet of water may shoot out of the holes, and no matter how good the door seal is, the waterjet will blow right past it, causing an apparent ""leak."" To replace the bladder, simply unscrew it from the top of the spray arms.","88"
"Chapter_4","205"," Vertical Maytag machines may exhibit this same symptom. The culprit is a sealing ring beneath the spray arm assembly; it wears out and allows a high-pressure jet to blow water past the door seal. See Chapter 5. In models with plastic spray arms, the spray arm can split, causing similar symptoms. Remove the kick plate as described in section 5-2 and look at the water inlet solenoid valve. On occasion, the guts of the water valve may rot out.","81"
"Chapter_4","207"," This usually shows up as a very slow drip coming from the top of the water valve solenoid. (See figure 4-B.) If the leak has been going on for a while, there may also be traces of rust or mineral deposits on top of the solenoid. The solution is to shut off the water supply and replace the valve. On rare occasions, the diaphragm within a water valve has been known to rupture. When this occurs, water will start filling the tub and will not stop. The anti-flood float switch will not close the valve. All it does is shut off the valve electrically, and this is not an electrical problem. The water will continue flowing no matter how much runs out onto the kitchen floor. Better hope it doesn't happen while you're not home!","139"
"Chapter_4","209"," The solution is to shut off the water supply and replace the valve. Pump seals get worn out. Just a fact of life. Rubber seal... metal shaft... you get the picture. Throw in some tiny bits of broken glass, plastic, nutshells, seeds, and other assorted abrasives over the years, and it's a wonder they last as long as they do. Bits of rust from your rusty dishracks can really accelerate the process.","73"
"Chapter_4","212"," Pump seal leaks will show up as water dripping from the motor or pump housing. (Or from the pump pulley in Maytag machines.) It may also get slung around a bit from a rotating pump shaft. The solution is to rebuild the pump. In some designs, you pull the whole motor and pump unit and replace it with a new or rebuilt unit. See Chapter 5 for details. On rare occasions, the leak will be coming from the sealing washers around tub heater mounts, dryer blower gaskets, or other small tub penetrations. You need to replace the gasket or seal. Drain or recirculation hoses have been known to get old and brittle and crack open. Replace the hose.","118"
"Chapter_4","216"," In sidewinder machines with butterfly drain valves, such as GE and Westinghouse dishwashers, (see section 1-2) you may get a leak from the drain valve stem. In most of these, this means pulling out the whole pump and motor unit and replacing it with a rebuilt unit as described in chapter 5. Some Kitchenaid dishwashers have a solenoid drain valve which can also develop leaks. See section 4-3. Please share our .: Follow us on social media","78"
